date,planned_cost,delta_only_emergency_cost,final_soc_kwh,zero_score,selected_score,accepted_search,evaluations
2025-06-01,37279.97057710453,64572.465718900086,1200.0,564.4200975176552,-756.4191561985942,True,181
2025-06-02,38881.13764195531,39024.83958342227,1200.0,2926.2842991323437,1996.3874390946485,True,181
2025-06-03,40465.015928326146,29075.059966366178,1200.0,4074.3872118783074,3467.6086782859334,True,181
2025-06-04,42234.64047577033,16955.97518088922,1200.0,4049.5109178390494,3726.1250656548764,True,181
2025-06-05,44537.00103556794,12138.973544202152,1200.0,4062.158575262277,3620.6817815736867,True,181
2025-06-06,17672.61403892733,16712.64145462108,1217.4015,1391.6644190479403,1391.6644190479403,True,181
2025-06-07,19070.77471677436,6535.511482667319,1342.1828887037043,1362.2054152473793,1362.2054152473793,True,181
2025-06-08,57457.61045824528,0.0,3741.6501434656084,2708.5580684679603,2156.184341102487,True,181
2025-06-09,55435.89483447481,0.0,3762.047665873016,2751.343489775479,2213.2659922795874,True,181
2025-06-10,55679.62412505781,0.0,3506.979912566137,2773.405907240049,2273.9402705619077,True,181
2025-06-11,56164.85802697216,0.0,3812.8472666931225,2799.025154658703,2313.1393273178032,True,181
2025-06-12,57239.41928397361,0.0,4158.313572460315,2654.316729515709,2173.9383086037556,True,181
2025-06-13,25267.46375406453,0.0,4262.142014444444,1625.2745247934308,1608.5183588410637,True,181
2025-06-14,25340.39113929366,0.0,3881.4661764814814,1574.0583536884078,1493.9605811105826,True,181
2025-06-15,56957.89217640722,0.0,4171.1889724867715,2448.4273876522834,2098.607695630685,True,181
2025-06-16,57395.33222326398,0.0,4033.565973544973,2464.384465753186,2103.8243724935055,True,181
2025-06-17,56906.05221228333,758.0829779954211,3652.828014682539,2609.1617171208436,2159.15462282978,True,181
2025-06-18,58293.30306082286,0.0,3951.9955294444444,2416.115117092862,1966.3546943715787,True,181
2025-06-19,57404.79366760174,0.4033499999988689,3693.3767682010575,2513.8733521027757,2037.3908458774476,True,181
2025-06-20,24731.63832711701,0.0,4135.125512037037,1687.4910088511585,1681.3714414780584,True,181
2025-06-21,24285.593715032912,0.0,4613.062987407406,1699.2120941200842,1688.8433471520336,True,181
2025-06-22,54926.05067530225,0.0,3740.666007592593,2715.074485975632,2087.2753949591965,True,181
2025-06-23,53631.0218807736,0.0,3305.2226444973535,3374.076752785544,2758.2385502131333,True,181
2025-06-24,51950.6246000337,9866.84492908406,3326.757237645504,3874.105365743476,3573.2885355278872,True,181
2025-06-25,50865.020128308046,0.0,2713.703020925925,4698.604797654072,4200.016155750496,True,181
2025-06-26,51036.077433485036,117.62394120595141,2265.7180732539678,4636.378798076734,3989.451244344227,True,181
2025-06-27,19928.398471810884,301.01924240482043,2636.1666753439176,2003.225635537324,1867.0448494320754,True,181
2025-06-28,19310.3474324678,0.0,2204.949148968255,584.2271382949431,396.1898586494605,True,181
2025-06-29,48492.186726050946,111.62967039523876,2164.7309266666703,1634.715925026509,584.6003663188887,True,181
2025-06-30,49252.50539087503,158.98018780833252,1875.8523744973531,1605.2419232689751,485.84293688473554,True,181
2025-07-01,49865.888625766114,19516.372876967445,1200.0,1620.2506186627263,446.9160219009713,True,181
2025-07-02,48486.20071772134,20892.433019366286,1200.0,2663.11908921701,1348.6466105651236,True,181
2025-07-03,47743.93817468757,38056.547655502174,1200.0,3162.0242107900112,1807.1051569447473,True,181
2025-07-04,20079.05736662318,23814.85078166557,1200.0,1800.623173353157,1800.623173353157,True,181
2025-07-05,20842.907243379177,21599.351299914015,1207.7429999999997,2071.5300864975165,1983.1573910065722,True,181
2025-07-06,48216.51838175357,36888.58272955599,1200.0,3051.1867552442095,2143.3446547445365,True,181
2025-07-07,48701.66063678253,6147.213295696523,1320.7775100000001,2750.303942818986,1942.2973614575776,True,181
2025-07-08,59187.900673618235,0.0,4209.900464365079,2546.1502141833457,1695.5660778260783,True,181
2025-07-09,57197.42939829097,0.0,4461.6674421164,2382.1286893636957,1736.8212761500067,True,181
2025-07-10,57875.86825905775,0.0,4192.750993518518,2268.232329341578,1621.9761328697587,True,181
2025-07-11,30067.037131528225,0.0,4450.0914782010595,848.6200177309805,731.0816160429911,True,181
2025-07-12,29833.442755185308,0.0,4136.506409708995,797.524952910875,602.9608216976684,True,181
2025-07-13,58253.59396859537,0.0,4348.280960317459,2282.347874160733,1397.8431923244364,True,181
2025-07-14,57060.502767169586,0.0,4336.359881058201,2225.9005754836953,1404.0880956028839,True,181
2025-07-15,57101.14180340504,0.0,4808.647377460316,2156.681989989254,1422.5189760413716,True,181
2025-07-16,55892.888615806834,0.0,4399.743940608466,1597.4531813925305,953.8094382449411,True,181
2025-07-17,55938.2900629107,0.0,4332.254297804233,1567.3381584385827,981.5387502791709,True,181
2025-07-18,29415.13181262923,128.45697813809593,4487.678376137566,669.3327302525996,485.12521101044763,True,181
2025-07-19,29468.223206962633,0.0,4348.005149603177,657.7989899482682,528.4797834140818,True,181
2025-07-20,55699.21728331217,0.0,4518.163170502644,1523.5344921137164,862.7743005071914,True,181
2025-07-21,56632.077854851814,0.0,4756.031062301586,1631.1020174030457,924.1458549715102,True,181
2025-07-22,55803.06892001501,578.3043339740698,4007.01243089947,1602.1865295154698,934.2133149995431,True,181
2025-07-23,56493.41861584231,0.0,4120.2929177513215,1880.2257600800149,1166.8394416949127,True,181
2025-07-24,55709.62256202176,1095.120612295732,4143.655833703704,2501.587261501945,2041.7396387397537,True,181
2025-07-25,26665.01068702514,51.901026428570816,3231.2573252116376,2541.8799786123213,2541.8799786123213,True,181
2025-07-26,26887.80434862998,0.0,2828.08352272487,2497.476151448354,2497.476151448354,True,181
2025-07-27,52630.85875373962,27.431764817913358,2498.924123544977,3375.647266310448,2359.700965591972,True,181
2025-07-28,52165.012612857885,1020.6893653596031,1437.2821742592596,1925.133358015247,421.6323010494457,True,181
2025-07-29,53742.01048129267,354.2856467166682,2161.0658777513227,753.0331249507134,-598.4166457317489,True,181
2025-07-30,53832.940650883145,47.04602773333303,2363.1799909259253,838.6649208977268,-600.812199550763,True,181
2025-07-31,53125.007903349644,271.0836721333329,1754.142909629632,774.7466817321997,-600.0188112542355,True,181
2025-08-01,25363.539386763092,0.0,2236.182956957678,-331.7393345869618,-861.8179143746725,True,181
2025-08-02,25217.296007453304,0.0,2296.280638253969,-198.8491350010328,-818.5110627815586,True,181
2025-08-03,51486.12062913689,1483.3272529128167,1519.5371550000004,838.249125242997,-442.70477128181744,True,181
2025-08-04,50958.84867275371,38.01756630000086,2038.6168541269824,778.0624297890275,-474.04384059050375,True,181
2025-08-05,49778.200032612294,88.88156299999946,1928.5302945238088,788.7117994876613,-489.10975807853094,True,181
2025-08-06,49009.76198961715,443.1507216728816,1340.6595284669118,735.6048115476724,-442.21474706206476,True,181
2025-08-07,48724.88143607976,57.95117778333328,1945.1104805026441,767.2553952699553,-528.7807871485105,True,181
2025-08-08,24679.50464046501,0.0,2282.0213274603184,-389.1961510260141,-910.4642246886185,True,181
2025-08-09,23949.496924893334,0.0,1979.4512653703716,-330.71380957150035,-890.6093311587529,True,181
2025-08-10,47311.71930545251,59.16227877499998,2472.8973432804237,552.1272070357694,-419.275589376407,True,181
2025-08-11,47293.241956390775,1068.6610193047572,1981.6231149206362,500.33519823242983,-464.04083673894525,True,181
2025-08-12,46338.03392593337,5710.461197905571,2027.8077150000013,537.5743914226778,-425.50038417894143,True,181
2025-08-13,46973.10806967464,710.6717716583314,2388.9866554497366,595.9315057314119,-324.6764630199433,True,181
2025-08-14,46583.786469253944,1019.2880273702351,2010.4980564285695,654.3598411644596,-273.43149238345586,True,181
2025-08-15,24053.125887982533,0.0,1994.9976198941822,-447.11910004217583,-898.9498152632666,True,181
2025-08-16,24151.810432520888,0.0,2131.904117010584,-453.532885575781,-896.358698441569,True,181
2025-08-17,46945.956350404405,689.6234152511877,2227.51581314815,666.5067920870392,-267.85119925772887,True,181
2025-08-18,46759.60984635161,458.17031902262096,2395.5013298941803,429.7285070465582,-329.8719574722331,True,181
2025-08-19,46741.2886254499,339.9252916749965,2082.2114380158723,453.92591511872723,-419.6830586323568,True,181
2025-08-20,46454.608373528885,18019.210399455264,1601.1411959259249,521.0973456599329,-420.1521777435094,True,181
2025-08-21,47340.90084006227,0.0,2195.613176772485,946.7920793264899,147.0574690216181,True,181
2025-08-22,24142.82802416169,480.97343803582834,1684.339457777778,-443.53823882346893,-904.232697658817,True,181
2025-08-23,24758.049522499445,0.0,2257.9471237830694,-445.79962821205396,-933.7443101990043,True,181
2025-08-24,47859.17119325215,119.7582709333327,2331.800488783069,1090.576220952837,-0.868748935447294,True,181
2025-08-25,48259.88262268645,840.0624187226333,1769.5401246296296,1032.5090076315516,-63.065782722610706,True,181
2025-08-26,49032.47242159114,94.46717647500041,2559.4338093915344,845.7261211706589,-354.68488676093193,True,181
2025-08-27,49121.76092932181,0.0,2287.419494735449,883.7004254527366,-399.5005420364616,True,181
2025-08-28,49040.55105972104,382.9910505000001,2288.0149488095235,819.9668795419618,-291.6537877695161,True,181
2025-08-29,25612.663540217014,0.0,2494.258285555557,-350.8893090756413,-894.1589646786158,True,181
2025-08-30,25230.74101531267,0.0,1978.7056192857167,-390.3666498465673,-900.4405054815563,True,181
2025-08-31,50063.727345452426,337.06710566666715,2363.084385211642,862.4136513382274,-310.97825025033865,True,181
2025-09-01,49769.08316367131,0.0,5949.026198597882,883.57321683321,-312.48614871092894,True,181
2025-09-02,47477.10726487398,0.0,5648.703895238092,880.2920253441704,-433.0404358657314,True,181
2025-09-03,46980.06806428604,0.0,5596.121323412699,947.1210267825512,-358.0561470104604,True,181
2025-09-04,47305.67849486237,0.0,5540.43671568783,1049.5819984534342,-244.76359168592924,True,181
2025-09-05,23087.066581936073,0.0,5679.958943703703,-497.64957563365687,-1070.6904241541768,True,181
2025-09-06,23459.568390124197,0.0,6277.360743518519,-540.3083688498276,-1101.0980339172525,True,181
2025-09-07,45653.668850259,0.0,5410.513888359788,1082.977982734302,-134.6681599233919,True,181
